key,en,es,hu
app_title,Real-Time Condorcet Method,Método de Condorcet en Tiempo Real,Valós idejű Condorcet-módszer
status,Status: ,Estado: ,Állapot: 
status_connecting,Connecting to cloud...,Conectando a la nube...,Csatlakozás a felhőhöz...
status_updated,Updated,Actualizado,Frissítve
status_error,Connection error,Error de conexión,Kapcsolódási hiba
btn_signup,Sign Up,Registrarse,Regisztráció
btn_login,Login,Iniciar Sesión,Bejelentkezés
btn_logout,Logout,Cerrar Sesión,Kijelentkezés
placeholder_email,Email,Correo electrónico,E-mail
placeholder_password,Password,Contraseña,Jelszó
h2_open_new,Open New Discussion,Abrir Nueva Discusión,Új vita nyitása
placeholder_new_disc,e.g. What would you change about this page?,ej. ¿Qué cambiarías de esta página?,pl. Mit változtatnál ezen az oldalon?
btn_create_pub,Create Public Discussion,Crear Discusión Pública,Nyilvános vita létrehozása
btn_create_priv,Create Private Discussion,Crear Discusión Privada,Privát vita létrehozása
h2_active_disc,Active Discussions,Discusiones Activas,Aktív viták
no_active_disc,No active discussions yet.,Aún no hay discusiones activas.,Még nincsenek aktív viták.
btn_back,← Back to List,← Volver a la Lista,← Vissza a listához
btn_refresh,🔄 Refresh Data,🔄 Actualizar Datos,🔄 Adatok frissítése
h3_your_ballot,Your Voting Ballot,Tu Papeleta de Voto,Az Ön szavazólapja
p_ballot_desc,"Assign numbers to rank your preferences (1 = favorite). <strong>You can repeat numbers to tie proposals.</strong>","Asigna números para ordenar tus preferencias (1 = favorito). <strong>Puedes repetir números para empatar propuestas.</strong>","Rendeljen számokat a preferenciáihoz (1 = kedvenc). <strong>A számok ismétlésével szavazategyenlőséget hozhat létre.</strong>"
strong_default_rank,Default Rank,Rango por Defecto,Alapértelmezett rang
span_default_rank,Number assigned to blank or future options.,Número asignado a opciones en blanco o futuras.,Üres vagy jövőbeli opciókhoz rendelt szám.
placeholder_last,Last,Último,Utolsó
btn_save_vote,Save / Cast Vote,Guardar / Emitir Voto,Mentés / Szavazat leadása
h3_add_proposal,Add New Proposal,Añadir Nueva Propuesta,Új javaslat hozzáadása
placeholder_new_prop,e.g. The colour of the table should be red...,ej. El color de la mesa debería ser rojo...,pl. Az asztal színe legyen piros...
btn_add_prop,Add Proposal,Añadir Propuesta,Javaslat hozzáadása
h3_results,Results and Consensus,Resultados y Consenso,Eredmények és konszenzus
alert_title,Enter a title.,Introduce un título.,Adjon meg egy címet.
alert_account_created,Account created.,Cuenta creada.,Fiók létrehozva.
alert_sync_error,Could not save to the cloud.,No se pudo guardar en la nube.,Nem sikerült menteni a felhőbe.
logged_in_as,Logged in as: ,Conectado como: ,Bejelentkezve mint: 
your_id,Your ID: ,Tu ID: ,Az Ön azonosítója: 
enter_assembly,Enter Assembly,Entrar a la Asamblea,Belépés a gyűlésbe
no_proposals_yet,No proposals yet.,Aún no hay propuestas.,Még nincsenek javaslatok.
standings_table,1v1 Standings Table,Tabla de Posiciones 1v1,1v1 Tabella
wins,Wins,Victorias,Győzelem
pts,pts,pts,pont
for,For,A Favor,Mellette
against,Against,En Contra,Ellene
result,Result,Resultado,Eredmény
res_won,Won,Ganó,Nyert
res_lost,Lost,Perdió,Vesztett
res_tie,Tie,Empate,Döntetlen
status_not_enough,Not enough proposals to compute.,No hay suficientes propuestas para calcular.,Nincs elég javaslat a számításhoz.
status_waiting,Waiting for the first vote...,Esperando el primer voto...,Várakozás az első szavazatra...
status_absolute,Absolute Consensus,Consenso Absoluto,Abszolút konszenzus
status_leader,Current Leader (Copeland),Líder Actual (Copeland),Jelenlegi vezető (Copeland)
status_paradox,Technical Tie,Empate Técnico,Technikai döntetlen
btn_copy_link,Copy Link,Copiar Enlace,Link másolása
link_copied,Link copied to clipboard!,¡Enlace copiado al portapapeles!,Link a vágólapra másolva!
alert_link,Discussion link:,Enlace de la discusión:, Vita linkje:
proposals_count,Proposals:,Propuestas:,Javaslatok:
votes_cast,Votes cast:,Votos emitidos:,Leadott szavazatok:
toggle_simplified_mode,Simplified ballot,Papeleta simplificada,Egyszerűsített szavazólap
p_ballot_desc_simplified,"Select your level of support (1 = a bit, 5 = a lot) or oppose the proposal. Unanswered items are counted as neutral.","Selecciona tu nivel de apoyo (1 = poco, 5 = mucho) o rechaza la propuesta. Las opciones sin respuesta se consideran neutrales.","Válassza ki a támogatás szintjét (1 = kicsit, 5 = nagyon) vagy utasítsa el a javaslatot. A megválaszolatlan elemek semlegesnek számítanak."
lbl_support,"I support (1 = a bit, 5 = a lot)","A favor (1 = poco, 5 = mucho)","Támogatom (1 = kicsit, 5 = nagyon)"
lbl_oppose,👎 I oppose,👎 En contra,👎 Ellenzem
